product,sales,2022,2023
Ugly chair,$4323.32,2022-08,2023-11
Ugly chair,$8027.97,2022-10,2023-02
Big chair,$9688.76,2022-03,2023-02
Ugly chair,$1210.62,2022-11,2023-05
Sleek chair,$4890.61,2022-09,2023-03
Ugly chair,$1991.53,2022-07,2023-02
Ugly chair,$2596.96,2022-11,2023-11
Ugly chair,$9945.26,2022-07,2023-01
Big chair,$7599.60,2022-04,2023-04
Ugly chair,$9532.68,2022-06,2023-01
Sleek chair,$1961.96,2022-10,2023-07
Sleek chair,$8916.54,2022-11,2023-02
Old chair,$6464.08,2022-05,2023-06
Big chair,$6711.92,2022-03,2023-11
Sleek chair,$5853.04,2022-05,2023-02
Old chair,$1003.72,2022-10,2023-05
New chair,$9946.20,2022-11,2023-04
Ugly chair,$3175.08,2022-12,2023-06
Old chair,$2468.52,2022-04,2023-12
Old chair,$9411.93,2022-06,2023-03
Sleek chair,$5710.22,2022-05,2023-04
Old chair,$2604.76,2022-02,2023-03
Old chair,$6937.74,2022-01,2023-11
Old chair,$1257.71,2022-07,2023-11
Big chair,$5526.63,2022-12,2023-06
Old chair,$6983.51,2022-01,2023-11
Big chair,$3140.11,2022-05,2023-12
Sleek chair,$3028.65,2022-01,2023-05
New chair,$1391.81,2022-12,2023-08
Big chair,$1991.42,2022-06,2023-04
Sleek chair,$8194.06,2022-10,2023-06
Old chair,$3172.12,2022-01,2023-07
Old chair,$2192.36,2022-06,2023-01
Ugly chair,$3544.36,2022-01,2023-04
New chair,$1100.92,2022-01,2023-07
New chair,$1125.96,2022-10,2023-09
Big chair,$4930.76,2022-01,2023-10
Ugly chair,$6581.90,2022-02,2023-03
Sleek chair,$2970.88,2022-05,2023-02
Sleek chair,$7661.66,2022-06,2023-12
Big chair,$2248.50,2022-11,2023-11
Ugly chair,$9356.24,2022-11,2023-10
Ugly chair,$4428.90,2022-08,2023-06
Old chair,$3298.29,2022-08,2023-01
Ugly chair,$7626.20,2022-08,2023-12
Old chair,$2730.20,2022-04,2023-08
Ugly chair,$7938.37,2022-09,2023-03
Ugly chair,$8246.06,2022-03,2023-01
Ugly chair,$9701.35,2022-12,2023-04
Old chair,$2615.76,2022-09,2023-01
Old chair,$3195.15,2022-01,2023-07
New chair,$1238.59,2022-10,2023-08
New chair,$1704.33,2022-03,2023-07
New chair,$2569.62,2022-08,2023-02
Sleek chair,$5108.36,2022-08,2023-03
New chair,$4812.85,2022-02,2023-01
New chair,$1607.09,2022-02,2023-02
Sleek chair,$8813.15,2022-06,2023-04
Old chair,$6850.35,2022-03,2023-04
New chair,$5849.15,2022-04,2023-11
Ugly chair,$2728.48,2022-07,2023-05
Sleek chair,$5018.47,2022-08,2023-02
Ugly chair,$7949.20,2022-03,2023-11
Sleek chair,$3117.86,2022-09,2023-03
Big chair,$9878.53,2022-01,2023-07
Sleek chair,$9511.14,2022-08,2023-09
Old chair,$2569.54,2022-06,2023-05
Big chair,$7503.61,2022-02,2023-03
New chair,$1592.68,2022-06,2023-06
Old chair,$3381.01,2022-07,2023-04
Big chair,$1445.01,2022-03,2023-07
Sleek chair,$3207.77,2022-11,2023-09
New chair,$6420.90,2022-03,2023-03
New chair,$1926.13,2022-12,2023-08
Big chair,$6714.10,2022-01,2023-11
Big chair,$6713.43,2022-05,2023-10
Ugly chair,$8965.02,2022-04,2023-02
Old chair,$8487.20,2022-01,2023-12
Sleek chair,$9501.91,2022-08,2023-03
Sleek chair,$5153.89,2022-01,2023-11
Big chair,$9723.95,2022-07,2023-11
Ugly chair,$3643.52,2022-01,2023-01
Big chair,$9073.23,2022-08,2023-06
Old chair,$1170.54,2022-06,2023-01
Sleek chair,$7889.93,2022-12,2023-06
Old chair,$2931.37,2022-05,2023-12
New chair,$9720.97,2022-09,2023-07
Ugly chair,$1188.83,2022-11,2023-01
Old chair,$3489.05,2022-08,2023-07
New chair,$4188.59,2022-11,2023-10
Sleek chair,$5003.28,2022-04,2023-09
Ugly chair,$7633.81,2022-02,2023-09
New chair,$8928.68,2022-05,2023-11
New chair,$2971.49,2022-11,2023-01
Sleek chair,$2353.74,2022-06,2023-10
New chair,$2896.71,2022-11,2023-05
Big chair,$5132.72,2022-11,2023-03
Old chair,$9212.35,2022-07,2023-04
Sleek chair,$3423.19,2022-02,2023-07
New chair,$1942.89,2022-10,2023-10
